"Symbol: ZSY00",,,,,,,"Study: BBANDS (20, 2, 0, ...)",,,"Study: BBANDS (20, 2, 0, ...)",,,"Study: MA (20, Close, 0)","Study: MA (55, Close, 0)","Study: MA (200, Close, 0)","Study: TCHRE (100, Long, 5, ...)","Study: VOL (LikeMain)",,"Study: DOSC (14, 5, 3, ...)",
"Date Time","Symbol","Open","High","Low","Close","Change","Bollinger-Upper","Bollinger-Mid","Bollinger-Lower","Bollinger-Upper","Bollinger-Mid","Bollinger-Lower","MA-Simple","MA-Simple","MA-Simple","TurtleChnRetrace","Volume","Open Interest","Derivative Oscillator","Derivative Oscillator Signal"
2006-08-01,ZSY00,542.5,544.5,506.5,511.5,-31,662.3424927042798,574.9625,487.5825072957201,662.3424927042798,574.9625,487.5825072957201,574.9625,611.3568181818182,589.50125,1035.625,142451,348320,-0.7389860141585132,-0.884986109389226
2006-09-01,ZSY00,508.5,530,504.5,515.5,4,662.8212542179435,574.65625,486.49124578205647,662.8212542179435,574.65625,486.49124578205647,574.65625,612.9545454545455,589.32125,1035.625,142005,361642,-1.2587596706482458,-0.8567763998093112
2006-10-01,ZSY00,512,618.5,507.5,610.5,95,664.4700215638172,575.38125,486.2924784361828,664.4700215638172,575.38125,486.2924784361828,575.38125,615.625,589.57125,1035.625,262246,384068,0.04337738137849101,-0.6970384518210856
2006-11-01,ZSY00,624,660,624,660,49.5,673.8557072653718,578.13125,482.4067927346282,673.8557072653718,578.13125,482.4067927346282,578.13125,619.3704545454545,590.01125,1035.625,196217,393873,2.2553890628811644,-0.29709491876958716
2006-12-01,ZSY00,660,660,627.5,652.5,-7.5,680.7110354800657,580.35625,480.00146451993436,680.7110354800657,580.35625,480.00146451993436,580.35625,622.0590909090909,590.18875,1035.625,195257,414373,4.026293711936361,0.2975638140966023
2007-01-01,ZSY00,647,691,632,681,28.5,683.9811156484427,581.05625,478.1313843515572,683.9811156484427,581.05625,478.1313843515572,581.05625,624.7931818181818,590.64125,1035.625,196942,416459,5.5506673288526756,1.0069636131603668
2007-02-01,ZSY00,682.5,750.5,682.5,740.5,59.5,707.7040656405362,585.95,464.1959343594638,707.7040656405362,585.95,464.1959343594638,585.95,628.1181818181818,591.26625,1035.625,275854,478578,7.181617935772515,1.868125881201209
2007-03-01,ZSY00,715,735.5,702.5,717,-23.5,718.2473104661138,588.36875,458.4901895338861,718.2473104661138,588.36875,458.4901895338861,588.36875,630.9613636363637,591.86125,1035.625,204580,474466,7.808061007897749,2.74911728726654
2007-04-01,ZSY00,735,735,677.5,696,-21,732.3113766849935,594.51875,456.7261233150064,732.3113766849935,594.51875,456.7261233150064,594.51875,634.040909090909,592.33125,1035.625,264098,470520,7.29340566043625,3.573451822705383
2007-05-01,ZSY00,708.5,770.5,692,763.5,67.5,759.240547061155,605.8125,452.384452938845,759.240547061155,605.8125,452.384452938845,605.8125,638.0386363636363,593.15625,1035.625,191530,465303,6.988410902591241,4.4320514801220225
