"Symbol: ZCY00",,,,,,,"Study: VOL (LikeMain)",
"Date Time","Symbol","Open","High","Low","Close","Change","Volume","Open Interest"
1986-12-01,ZCY00,175.25,175.75,160,160,-14.75,46449,118302
1987-01-01,ZCY00,157.25,164,151,158.5,-1.5,44628,130655
1987-02-01,ZCY00,160.25,160.25,141.25,151.25,-7.25,61074,141719
1987-03-01,ZCY00,154,168.5,151.25,162.5,11.25,57960,138420
1987-04-01,ZCY00,161.5,183.75,155.75,183.75,21.25,69444,141297
1987-05-01,ZCY00,173.75,198.5,173.75,189.75,6,71574,130141
1987-06-01,ZCY00,187.25,199.75,178.25,180.5,-9.25,72440,126558
1987-07-01,ZCY00,174.5,180.25,165.25,168,-12.5,54147,113786
1987-08-01,ZCY00,164.25,164.25,153.5,158.5,-9.5,47586,118286
1987-09-01,ZCY00,157.75,169.25,157.25,167.75,9.25,51800,118711
1987-10-01,ZCY00,172.25,180,163.5,177.5,9.75,61466,137861
1987-11-01,ZCY00,176.75,197.75,174.5,197.5,20,60461,138161
1987-12-01,ZCY00,196.25,196.25,183.25,183.25,-14.25,42307,126356
1988-01-01,ZCY00,192.5,203.5,189.5,197.75,14.5,60790,145703
1988-02-01,ZCY00,198.75,205.25,198.75,202.75,5,66679,151801
1988-03-01,ZCY00,206.25,210.25,200.75,207.25,4.5,55861,157447
1988-04-01,ZCY00,205.25,207.75,202.75,207.75,0.5,69562,162650
1988-05-01,ZCY00,209.5,220.25,201.25,220.25,12.5,80666,165394
1988-06-01,ZCY00,216.75,327.5,216.75,302.75,82.5,143605,214462
1988-07-01,ZCY00,312.75,321.25,247,259,-43.75,136367,245871
1988-08-01,ZCY00,280,293,268.75,277.5,18.5,93083,234992
1988-09-01,ZCY00,283,286.5,268.75,277.25,-0.25,83857,232952
1988-10-01,ZCY00,281.5,292,267.75,273.25,-4,88784,247369
1988-11-01,ZCY00,275.75,278.5,253.25,261.5,-11.75,106614,242341
1988-12-01,ZCY00,258.5,278.25,256.5,277.5,16,67608,222419
1989-01-01,ZCY00,274.75,285.5,264.75,274.75,-2.75,79430,216220
1989-02-01,ZCY00,273.5,279.25,267.5,279,4.25,71234,198811
1989-03-01,ZCY00,279,284.75,266.5,270,-9,69411,192640
1989-04-01,ZCY00,261.5,282.25,261.5,277,7,82755,183544
1989-05-01,ZCY00,281.25,285.5,272.25,272.25,-4.75,71453,163887
1989-06-01,ZCY00,271.5,279.25,260,271.5,-0.75,81546,156781
1989-07-01,ZCY00,277.25,285.25,236,236,-35.5,86465,143806
1989-08-01,ZCY00,234.5,248.25,228.25,246.25,10.25,59700,145405
1989-09-01,ZCY00,243.75,250.25,230.75,231.5,-14.75,56542,141379
1989-10-01,ZCY00,239,248,233.5,241,9.5,85486,171513
1989-11-01,ZCY00,242.5,246.75,241,243.25,2.25,82896,194250
1989-12-01,ZCY00,240.5,245,233.5,237.25,-6,55953,167943
1990-01-01,ZCY00,235.75,245,235.75,241.75,4.5,59051,178094
1990-02-01,ZCY00,241,253.75,240.25,253.75,12,84022,202844
1990-03-01,ZCY00,255.75,264.25,250.25,264.25,10.5,84046,229945
1990-04-01,ZCY00,266.5,286.25,266.5,284.25,20,113038,252155
1990-05-01,ZCY00,286.75,293.75,277.25,280.5,-3.75,129918,250020
1990-06-01,ZCY00,279.25,297.25,277.75,297.25,16.75,128903,242462
1990-07-01,ZCY00,295.75,295.75,274.75,274.75,-22.5,104936,212748
1990-08-01,ZCY00,270.5,276,260.25,276,1.25,78975,207951
1990-09-01,ZCY00,271.75,278.25,227.75,232,-44,63739,206603
1990-10-01,ZCY00,228,241.5,228,232.25,0.25,67257,211222
1990-11-01,ZCY00,232.75,239.25,214.5,239.25,7,103309,219863
1990-12-01,ZCY00,239.75,241.5,236.75,237.75,-1.5,57991,203880
1991-01-01,ZCY00,235.75,251.25,235.75,250.25,12.5,77889,210006
1991-02-01,ZCY00,250,253,245,253,2.75,73354,219235
1991-03-01,ZCY00,244,263.25,244,260.25,7.25,93264,229009
1991-04-01,ZCY00,263.75,268.25,257.25,260.5,0.25,94632,229464
1991-05-01,ZCY00,259,262,253,253,-7.5,76859,204828
1991-06-01,ZCY00,260.25,260.25,236.5,236.5,-16.5,101285,202100
1991-07-01,ZCY00,241.75,261.5,230,261.5,25,113971,198527
1991-08-01,ZCY00,266,266,245,260.75,-0.75,99753,219700
1991-09-01,ZCY00,260.25,262.75,241,252.25,-8.5,69236,215526
1991-10-01,ZCY00,257.75,260.25,244,256,3.75,76873,242466
1991-11-01,ZCY00,259.25,259.25,247.75,249,-7,90772,257065
1991-12-01,ZCY00,251.5,258,249.5,256.5,7.5,60212,228347
1992-01-01,ZCY00,255.5,269.75,253,269.75,13.25,81934,254195
1992-02-01,ZCY00,272.25,276,254.5,276,6.25,105538,294956
1992-03-01,ZCY00,278.5,282.75,271.25,271.25,-4.75,86572,285428
1992-04-01,ZCY00,267,269,259,259,-12.25,82734,235714
